sample_fp	plate	well	tile
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-000__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	0
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-001__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	1
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-002__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	2
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-003__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	3
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-004__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	4
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-005__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	5
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-006__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	6
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-007__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	7
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-008__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	8
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-009__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	9
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-010__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	10
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-011__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	11
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-012__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	12
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-013__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	13
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-014__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	14
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-015__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	15
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-016__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	16
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-017__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	17
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-018__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	18
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-019__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	19
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-020__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	20
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-021__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	21
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-022__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	22
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-023__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	23
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-024__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	24
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-025__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	25
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-026__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	26
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-027__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	27
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-028__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	28
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-029__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	29
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-030__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	30
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-031__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	31
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-032__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	32
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-033__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	33
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-034__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	34
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-035__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	35
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-036__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	36
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-037__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	37
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-038__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	38
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-039__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	39
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-040__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	40
